Section Code,Organization Name,School Term,Genius School Term
ISS.CP.SS003.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS004.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS004.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS004.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS004.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS002.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS002.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS002.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS002.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.FL001.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.FL001.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.FL001.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.FL001.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.FL002.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.FL002.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.FL002.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.FL002.D.1,2 QA FocalPoint School,2526FY,13
ISS.SS.LA001.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.LA001.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.LA002.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.LA002.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.LA003.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.LA003.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.LA004.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.LA004.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA102.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA102.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA103.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA103.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA007.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA007.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA008.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA008.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA104.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA104.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA114.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA114.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA115.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA115.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA116.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA116.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA117.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA117.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA001.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA001.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA006.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA006.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC021.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC021.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC004.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC004.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC007.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC007.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC005.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC005.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC003.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC003.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC006.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC006.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS003.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS003.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS011.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS004.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS004.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS001.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS001.B.1,2 QA FocalPoint School,2526FY,13
