School,SchoolTerm,CourseCode,ForceSync,Server
1 QA Test School,2122FY,EDCB.FL004.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC019.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC009.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC024.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC024.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA011.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC015.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC008.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC022.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC022.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA005.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA005.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS004.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS004.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS004.C,TRUE,caolacourses-pulse
